"date","acn_volume","adbe_volume","amd_volume","crm_volume","ibm_volume","intc_volume","intu_volume","nflx_volume","sony_volume","txn_volume","acn_high","adbe_high","amd_high","crm_high","ibm_high","intc_high","intu_high","nflx_high","sony_high","txn_high","acn_low","adbe_low","amd_low","crm_low","ibm_low","intc_low","intu_low","nflx_low","sony_low","txn_low"
"2013-01-18","2271600","5561400","41786200","6346000","4769342","143760400","1227500","35999600","9285500","13294700","70.120003","37.990002","2.680000","43.025002","186.424469","21.440001","63.689999","14.562857","12.740000","33.540001","69.410004","37.360001","2.430000","41.910000","185.277252","21.030001","62.980000","14.097143","12.480000","33.020000"
"2013-01-22","3331900","2475400","35143000","7501600","7502226","51127400","1155200","22773100","8125000","13045800","70.459999","38.020000","2.540000","42.567501","187.456985","21.290001","63.779999","14.235714","13.380000","33.470001","69.790001","37.570000","2.430000","41.529999","185.478012","21.030001","62.950001","13.798571","13.110000","33.130001"
"2013-01-23","3591100","3309000","69200500","5760000","13106903","42432300","1479100","74235000","3233100","9516500","71.459999","38.279999","2.750000","42.930000","199.407272","21.219999","64.059998","14.832857","13.290000","33.299999","70.440002","37.889999","2.590000","41.790001","194.416824","21.040001","63.650002","13.860000","13.080000","32.799999"
"2013-01-24","2608500","2605600","32497200","5149600","4651771","58396800","1679700","118805400","4676900","7827500","71.980003","38.700001","2.840000","43.372501","196.042068","21.180000","64.440002","21.309999","13.560000","33.610001","70.680000","37.990002","2.670000","42.622501","194.149139","20.930000","63.490002","19.945715","13.360000","33.009998"
"2013-01-25","2908200","3273000","33639700","6508000","3513409","107632800","1516100","191445800","6596300","8436000","72.239998","38.529999","2.930000","43.935001","196.156784","21.070000","64.139999","24.668571","14.460000","33.290001","71.010002","38.020000","2.820000","43.152500","195.152969","20.879999","63.480000","20.801430","14.250000","32.709999"
"2013-01-28","3420600","3536100","23636700","8180000","2953590","105398300","1225200","109104800","8251000","7773000","72.870003","38.410000","2.920000","44.727501","197.151047","21.090000","64.470001","25.321428","15.490000","33.310001","71.760002","37.900002","2.780000","44.162498","195.305923","20.990000","63.869999","22.969999","14.830000","32.810001"
"2013-01-29","2564500","2935900","20071100","6209600","3783487","105703100","1218000","59542000","5664500","6183000","72.099998","38.560001","2.860000","43.997501","196.682602","21.299999","64.180000","24.268572","15.230000","32.830002","71.480003","37.810001","2.690000","43.077499","194.684509","21.010000","63.009998","22.375713","15.000000","32.389999"
"2013-01-30","2321800","2693600","19781200","7241600","3136326","34151300","1754300","48062700","3199100","8352700","72.680000","38.509998","2.780000","44.110001","195.869980","21.459999","63.930000","25.071428","15.170000","32.970001","71.650002","37.880001","2.630000","42.935001","194.254303","21.219999","62.889999","23.237143","14.970000","32.590000"
"2013-01-31","2454700","3291900","27846400","4999600","3233604","36534100","3504600","35601300","2597200","13790600","72.800003","38.230000","2.710000","43.695000","195.478012","21.320000","63.540001","24.142857","14.980000","33.110001","71.889999","37.680000","2.450000","42.650002","194.034424","21.020000","62.270000","22.902857","14.630000","32.660000"
"2013-02-01","3158800","2416100","18806200","5174000","3525752","31867100","2262700","50358000","5017200","13854400","73.910004","38.480000","2.680000","43.959999","196.319305","21.360001","63.169998","24.714287","15.140000","33.750000","72.489998","37.910000","2.570000","43.307499","194.875717","21.090000","62.400002","23.411428","14.640000","33.080002"
